date,y_reg,pos,costs,r_strategy,r_bh,equity_strategy,equity_bh
2019-10-01,-0.012917741288949321,0,0.0,-0.0,-0.012917741288949321,1.0,0.9871653346285747
2019-10-02,0.0,0,0.0,0.0,0.0,1.0,0.9871653346285747
2019-10-03,0.0,0,0.0,0.0,0.0,1.0,0.9871653346285747
2019-10-04,0.01734803997990166,0,0.0,0.0,0.01734803997990166,1.0,1.0044401269729126
2019-10-07,-0.010369706809921204,0,0.0,-0.0,-0.010369706809921204,1.0,0.9940781952968998
2019-10-08,0.0,0,0.0,0.0,0.0,1.0,0.9940781952968998
2019-10-09,0.0,0,0.0,0.0,0.0,1.0,0.9940781952968998
2019-10-10,0.014785327515914173,0,0.0,0.0,0.014785327515914173,1.0,1.0088851601634752
2019-10-11,0.0,0,0.0,0.0,0.0,1.0,1.0088851601634752
2019-10-15,0.0,0,0.0,0.0,0.0,1.0,1.0088851601634752
2019-10-16,0.0,0,0.0,0.0,0.0,1.0,1.0088851601634752
2019-10-17,-0.0004912845730881573,0,0.0,-0.0,-0.0004912845730881573,1.0,1.0083896321808627
2019-10-18,0.0,0,0.0,0.0,0.0,1.0,1.0083896321808627
2019-10-21,0.0,0,0.0,0.0,0.0,1.0,1.0083896321808627
2019-10-22,0.0009774672706715788,0,0.0,0.0,0.0009774672706715788,1.0,1.0093757819284377
2019-10-23,0.0,0,0.0,0.0,0.0,1.0,1.0093757819284377
2019-10-24,0.005366309914793792,0,0.0,0.0,0.005366309914793792,1.0,1.0148069648665754
2019-10-25,0.0029158621239751387,0,0.0,0.0,0.0029158621239751387,1.0,1.0177703203269501
2019-10-28,0.0,0,0.0,0.0,0.0,1.0,1.0177703203269501
2019-10-29,0.0,0,0.0,0.0,0.0,1.0,1.0177703203269501
2019-10-30,0.003387925106608971,0,0.0,0.0,0.003387925106608971,1.0,1.0212242975522878
2019-10-31,0.005781982791258617,0,0.0,0.0,0.005781982791258617,1.0,1.027146102255388
2019-11-01,0.010515034223034446,0,0.0,0.0,0.010515034223034446,1.0,1.0380035619140133
2019-11-04,0.0,0,0.0,0.0,0.0,1.0,1.0380035619140133
2019-11-05,0.004743680855839312,0,0.0,0.0,0.004743680855839312,1.0,1.0429392168695384
2019-11-06,0.0,0,0.0,0.0,0.0,1.0,1.0429392168695384
2019-11-07,0.0,0,0.0,0.0,0.0,1.0,1.0429392168695384
2019-11-08,0.0,0,0.0,0.0,0.0,1.0,1.0429392168695384
2019-11-11,0.0033109891585422716,0,0.0,0.0,0.0033109891585422716,1.0,1.0463981003125256
2019-11-12,0.0,0,0.0,0.0,0.0,1.0,1.0463981003125256
2019-11-13,0.0,0,0.0,0.0,0.0,1.0,1.0463981003125256
2019-11-14,0.0,0,0.0,0.0,0.0,1.0,1.0463981003125256
2019-11-15,0.006579954950079043,0,0.0,0.0,0.006579954950079043,1.0,1.053306054763201
2019-11-18,0.00047033951462772207,0,0.0,0.0,0.00047033951462772207,1.0,1.0538015827458131
2019-11-19,0.0037408584389504937,0,0.0,0.0,0.0037408584389504937,1.0,1.0577510879537633
2019-11-20,-0.0023358149399149296,0,0.0,-0.0,-0.0023358149399149296,1.0,1.0552832604760007
2019-11-21,0.0,0,0.0,0.0,0.0,1.0,1.0552832604760007
